veve_uuid,ts_utc,floor,listings
sample-0000-582307,2021-10-02T00:00:00Z,140.34,41
sample-0000-582307,2021-10-02T00:00:00Z,483.36,49
sample-0000-582307,2021-10-10T00:00:00Z,221.52,39
sample-0000-582307,2021-10-13T00:00:00Z,361.88,45
sample-0000-582307,2021-10-14T00:00:00Z,851.97,44
sample-0000-582307,2021-10-14T00:00:00Z,959.11,45
sample-0000-582307,2021-10-15T00:00:00Z,1250.83,47
sample-0000-582307,2021-10-18T00:00:00Z,637.56,46
sample-0000-582307,2021-10-19T00:00:00Z,118.21,43
sample-0000-582307,2021-10-22T00:00:00Z,559.07,48
sample-0000-582307,2021-10-25T00:00:00Z,300.98,42
sample-0000-582307,2021-10-27T00:00:00Z,185.3,43
sample-0000-582307,2021-11-02T00:00:00Z,12790.26,30
sample-0000-582307,2021-11-03T00:00:00Z,6836.63,36
sample-0000-582307,2021-11-10T00:00:00Z,16298.29,34
sample-0000-582307,2021-11-12T00:00:00Z,2047.22,47
sample-0000-582307,2021-11-14T00:00:00Z,2792.04,40
sample-0000-582307,2021-11-17T00:00:00Z,4412.34,39
sample-0000-582307,2021-11-22T00:00:00Z,1486.3,50
sample-0000-582307,2021-11-22T00:00:00Z,5701.51,40
sample-0000-582307,2021-11-22T00:00:00Z,11297.47,33
sample-0000-582307,2021-11-23T00:00:00Z,2466.34,43
sample-0000-582307,2021-11-25T00:00:00Z,9526.25,34
sample-0000-582307,2021-11-26T00:00:00Z,3326.02,38
sample-0000-582307,2021-12-07T00:00:00Z,55035.59,33
sample-0000-582307,2021-12-11T00:00:00Z,19926.4,35
sample-0000-582307,2021-12-12T00:00:00Z,22540.81,37
sample-0000-582307,2021-12-12T00:00:00Z,30501.12,34
sample-0000-582307,2021-12-15T00:00:00Z,66293.56,37
sample-0000-582307,2021-12-17T00:00:00Z,48785.66,35
sample-0000-582307,2021-12-19T00:00:00Z,38758.02,36
sample-0000-582307,2021-12-23T00:00:00Z,85441.64,33
sample-0000-582307,2022-01-02T00:00:00Z,421962.52,34
sample-0000-582307,2022-01-03T00:00:00Z,149047.38,32
sample-0000-582307,2022-01-03T00:00:00Z,1483605.78,32
sample-0000-582307,2022-01-10T00:00:00Z,366931.03,34
sample-0000-582307,2022-01-13T00:00:00Z,199663.55,33
sample-0000-582307,2022-01-13T00:00:00Z,278038.29,34
sample-0000-582307,2022-01-13T00:00:00Z,585010.59,30
sample-0000-582307,2022-01-14T00:00:00Z,1219841.29,28
sample-0000-582307,2022-01-16T00:00:00Z,110110.55,30
sample-0000-582307,2022-01-17T00:00:00Z,1026169.32,31
sample-0000-582307,2022-01-24T00:00:00Z,243123.24,30
sample-0000-582307,2022-01-26T00:00:00Z,808644.82,31
sample-0000-582307,2022-02-02T00:00:00Z,3412304.44,30
sample-0000-582307,2022-02-02T00:00:00Z,8825434.4,25
sample-0000-582307,2022-02-07T00:00:00Z,1955476.2,30
sample-0000-582307,2022-02-07T00:00:00Z,5595634.39,28
sample-0000-582307,2022-02-07T00:00:00Z,7479319.32,26
sample-0000-582307,2022-02-18T00:00:00Z,4065363.41,32
sample-0000-582307,2022-02-20T00:00:00Z,2675894.29,28
sample-0000-582307,2022-02-26T00:00:00Z,4763691.61,28
sample-0000-582307,2022-03-02T00:00:00Z,13116201.64,25
